Year,Precip (in),Price ($/bu),Yield_1 (bu/ac),Irrig_1 (in),Yield_2 (bu/ac),Irrig_2 (in),Yield_3 (bu/ac),Irrig_3 (in),Yield_4 (bu/ac),Irrig_4 (in),N-app (kg/ha),N-use_1 (kg/ha),N-use_2 (kg/ha),N-use_3 (kg/ha),N-use_4 (kg/ha)
2008/2017,18.56,4.12,209,9,67,0,220,10,61,0,180,223,167,219,165
2009/2018,20.79,3.49,244,8,107,0,209,11,48,0,180,222,208,219,147
2010/2028,17.34,4.95,207,12,95,0,195,12,61,0,180,217,180,218,122
2011/2038,12.22,6.28,139,15,51,0,190,10,68,0,180,212,115,219,159
2012/2048,13.97,7.04,160,13,40,0,129,11,59,0,180,212,111,204,122
2013/2058,17.45,4.49,208,8,82,0,108,12,34,0,180,220,160,183,89
2014/2068,18.92,3.78,201,5,188,0,80,11,22,0,180,219,206,148,98
2015/2078,29.03,3.69,230,4,224,0,51,10,30,0,180,223,218,104,77
2016/2088,20.07,3.2,231,4,230,0,41,10,25,0,180,223,221,96,77
2017/2098,23.38,3.28,225,10,168,0,28,10,21,0,180,219,204,78,68
