Year,Precip (in),Price ($/bu),Yield_1 (bu/ac),Irrig_1 (in),Yield_2 (bu/ac),Irrig_2 (in),Yield_3 (bu/ac),Irrig_3 (in),Yield_4 (bu/ac),Irrig_4 (in),N-app (kg/ha),N-use_1 (kg/ha),N-use_2 (kg/ha),N-use_3 (kg/ha),N-use_4 (kg/ha)
2008/2017,18.56,6.94,77,4,70,0,69,6,61,0,95,126,118.9,124.1,98.8
2009/2018,20.79,4.79,72,6,39,0,38,5,25,0,95,108,67.2,70.5,54.2
2010/2028,17.34,5.14,75,8,21,0,69,6,54,0,95,116.2,41.6,126.5,99.7
2011/2038,12.22,7.03,76,5,32,0,73,5,62,0,95,113,63.8,127.5,99.9
2012/2048,13.97,7.48,77,10,15,0,67,6,45,0,95,117.4,28.7,128.6,75.2
2013/2058,17.45,6.99,13,3,7,0,58,6,37,0,95,26.8,18.1,127.8,75.3
2014/2068,18.92,6.07,70,4,13,0,59,6,39,0,95,119.6,34.4,130.9,73.8
2015/2078,29.03,4.74,84,7,60,0,60,6,50,0,95,129.2,101.9,125.5,100.6
2016/2088,20.07,3.2,73,5,55,0,58,7,27,0,95,122.5,97,125.3,62.5
2017/2098,23.38,4.07,74,9,11,0,61,6,31,0,95,114.4,25.5,124.7,72.6
