Year,Precip (in),Price ($/bu),Yield_1 (bu/ac),Irrig_1 (in),Yield_2 (bu/ac),Irrig_2 (in),Yield_3 (bu/ac),Irrig_3 (in),Yield_4 (bu/ac),Irrig_4 (in),N-app (kg/ha),N-use_1 (kg/ha),N-use_2 (kg/ha),N-use_3 (kg/ha),N-use_4 (kg/ha)
2008,18.56,9.39,91,15,20,0,99,16,14,0,0,0,0,0,0
2009,20.79,9.38,92,13,30,0,99,17,13,0,0,0,0,0,0
2010,17.34,11.5,95,21,9,0,94,20,9,0,0,0,0,0,0
2011,12.22,12.1,88,24,8,0,91,17,6,0,0,0,0,0,0
2012,13.97,14.3,93,22,5,0,88,19,8,0,0,0,0,0,0
2013,17.45,12.8,89,13,29,0,84,20,10,0,0,0,0,0,0
2014,18.92,9.63,96,9,50,0,80,22,5,0,0,0,0,0,0
2015,29.03,8.56,96,12,24,0,71,22,7,0,0,0,0,0,0
2016,20.07,9.26,96,10,38,0,63,22,8,0,0,0,0,0,0
2017,23.38,9,95,15,24,0,51,23,7,0,0,0,0,0,0
