Year,Precip (in),Price ($/bu),Yield_1 (bu/ac),Irrig_1 (in),Yield_2 (bu/ac),Irrig_2 (in),Yield_3 (bu/ac),Irrig_3 (in),Yield_4 (bu/ac),Irrig_4 (in)
2008,8.9,3.14,119,9,63,0,115,10,51,0
2009,11.14,3.06,121,8,73,0,118,11,42,0
2010,6.34,5.04,84,7,27,0,120,10,50,0
2011,2.56,5.99,70,8,22,0,120,10,48,0
2012,4.21,6.72,95,9,27,0,115,9,41,0
2013,5.43,4.18,122,6,80,0,111,10,23,0
2014,15.83,3.98,122,6,77,0,104,9,38,0
2015,16.46,3.12,126,5,112,0,122,8,62,0
2016,14.69,2.62,110,5,89,0,115,9,50,0
2017,5.12,3.12,128,8,77,0,118,9,53,0
